year,municode,inc_m,ind_lang,educ_years,sales_hotel,logtemp,logprecip,dist_us_km
2000,1001,3367.053,.0039165,9.08799,171550,5.171715,3.796707,600.6931
2000,1002,2287.634,.0012442,6.795107,40,5.140995,3.656,557.6143
2000,1003,1786.198,.0027569,6.00036,687,5.169001,3.980089,616.0117
2000,1005,2559.55,.0015731,7.319565,361,5.147138,3.864694,597.9345
2000,1006,3021.914,.0003432,8.330784,378,5.149746,3.673766,573.9117
2000,1007,2555.663,0,7.991003,574,5.113169,3.660473,561.4097
2000,1011,3360.296,.0019324,7.784682,729,5.171446,3.648598,576.3932
2000,2001,4021.991,.0806629,8.21742,152591,5.162446,2.744925,262.4229
2000,2002,6460.129,.0075334,9.065122,302796,5.315036,2.188445,90.35691
2000,2003,4474.784,.0415555,7.776525,7259,5.007053,3.305918,18.29244
2000,2004,6635.611,.0162228,8.628374,405313,5.090562,3.170476,17.32809
2000,2005,4401.374,.0326569,7.491095,177998,5.088848,3.099243,33.43482
2000,3001,3551.035,.0085432,7.762643,4776,5.373656,2.423694,650.7513
2000,3002,3312.221,.0142615,7.903082,24630,5.324131,2.261853,492.9318
2000,3003,4219.844,.0152752,9.671778,144345,5.387354,2.870643,789.9294
2000,3008,7613.675,.016087,8.763183,1506780,5.408869,3.345755,873.3538
2000,3009,3754.957,.0116604,8.786673,67926,5.383173,2.851762,596.7263
2000,4001,1520.413,.6943465,6.92208,222,5.587586,4.40966,935.03
2000,4002,2578.781,.0929805,9.276073,46824,5.566114,4.591649,990.4945
2000,4003,4259.677,.0233262,8.387793,126836,5.573615,4.846581,1003.844
2000,4004,2120.49,.1385937,6.662966,1662,5.556522,4.647508,1013.561
2000,4005,1658.712,.6724007,6.946959,94,5.583246,4.475441,960.8386
2000,4006,1744.887,.5842935,6.887673,157,5.549512,4.47961,1050.23
2000,4007,2459.905,.016674,6.95851,349,5.582362,4.921728,999.5519
2000,4009,2766.323,.0807877,7.321841,2004,5.556773,4.665919,1064.802
2000,4010,2066.769,.3219554,6.880111,2340,5.523153,4.58571,1132.433
2000,4011,2007.012,.0716498,6.031805,821,5.563818,4.775238,1088.968
2000,5002,3792.111,.0056548,8.363089,15643,5.304298,3.295559,39.22199
2000,5003,4015.052,.0003029,8.304201,1201,5.368123,3.554075,57.10675
2000,5004,2575.019,0,7.224996,3558,4.956298,3.704712,194.0356
2000,5006,3141.259,0,8.559338,178,5.262745,3.261821,198.1734
